,index,track,start,end,nframes,x_first,x_std,x_last,x_nth,y_first,y_std,y_last,y_nth,conf_min,conf_mean,conf_max,mindim_mean,mindim_std,maxdim_mean,maxdim_std,x_dist,y_dist,dur_s,detect_dens,init_move,init_dir,ledge,Unnamed: 0,RandFor,KNear,NaBayes,DecTree,SVM,LogReg,multi
0,0,TRI3_2023-06-14_03-0001,2023-06-14 03:13:14.639242,2023-06-14 03:14:11.759187,1014,985.3797607421876,80.28803301817631,1471.66552734375,1209.880126953125,756.6575927734375,218.55473241270568,795.550537109375,1110.08984375,0.1015261933207511,0.689556103412804,0.8734769821166992,67.29787636179425,20.25642303957379,115.72989878757936,21.98263511667031,3653.726440429687,3306.959167480469,57.119945,17.752117933586945,418.70606690040313,351.7913940197986,TRI3,0,1,1,1,1,1,1,6
1,1,TRI3_2023-06-14_03-0023,2023-06-14 03:14:15.399184,2023-06-14 03:18:54.278918,6034,1514.2064208984375,98.74537681676966,1546.658447265625,1514.2064208984375,1212.583984375,191.91851780125984,609.9402465820312,1212.583984375,0.1000005975365638,0.6864759427972846,0.8639302253723145,65.32662388311935,19.936187403432513,118.44157862323462,24.01211936411147,24800.27490234375,22017.991455078125,278.879734,21.636566822026587,0.0,15.787363436266991,TRI3,1,1,1,1,1,1,1,6
2,2,TRI3_2023-06-14_03-0206,2023-06-14 03:18:59.838913,2023-06-14 03:21:33.838766,3167,1462.2122802734375,105.51298117367796,1584.4964599609375,1469.57373046875,1213.292724609375,215.48917674819566,788.3643188476562,1179.52099609375,0.1051181703805923,0.7078902444437283,0.848017156124115,70.87735333215336,22.40828245419501,120.57905290011618,26.684772314532147,13564.584838867188,13682.58209228516,153.999853,20.56495469511909,34.56473051986873,13.637959371488444,TRI3,2,1,1,1,1,1,1,6
3,3,TRI3_2023-06-14_03-0298,2023-06-14 03:21:41.038759,2023-06-14 03:27:25.958430,5567,1363.79150390625,132.75535042182628,1175.85107421875,1351.98779296875,1226.77392578125,244.8928843348278,474.738037109375,1212.6663818359375,0.1018440648913383,0.6486654151649284,0.85847407579422,63.1332678242391,19.548365342514895,117.26671431911298,24.704424746268952,38648.51678466797,41097.51284790039,344.919671,16.139989881876005,18.394303141597415,4.148456004638811,TRI3,3,1,1,1,1,1,1,6
4,4,TRI3_2023-06-14_03-0372,2023-06-14 03:23:28.758656,2023-06-14 03:23:30.318654,34,1284.5985107421875,34.480418219108884,1403.901611328125,1341.0654296875,730.6574096679688,33.31473862604048,675.2820434570312,608.6236572265625,0.1263018995523452,0.574491997852045,0.7242522835731506,64.97678509880515,18.03755083435182,130.6742338292739,24.504889142286196,656.4488525390625,675.673095703125,1.559998,21.794899737050944,134.46467815046046,170.09711404803156,TRI3,4,1,0,0,1,0,1,3
5,5,TRI3_2023-06-14_03-0500,2023-06-14 03:26:20.158493,2023-06-14 03:26:21.638491,29,812.9910888671875,31.257926252933014,755.0835571289062,701.4445190429688,332.8941650390625,14.626275669424484,311.77325439453125,291.7185974121094,0.1074399501085281,0.6275153627683376,0.7775565981864929,64.33268579943427,5.4512171920585315,89.48736467032597,8.216057476643611,182.437744140625,95.77148437500011,1.479998,19.594621073812263,118.90359375961309,216.66953920893806,TRI3,5,1,0,0,0,0,0,1
7,7,TRI3_2023-06-14_03-0567,2023-06-14 03:27:32.398423,2023-06-14 03:30:24.158260,2126,1684.5853271484375,215.6254836894945,855.2169799804688,1664.0650634765625,1146.069580078125,263.4071602542763,599.4908447265625,1123.32666015625,0.1020732671022415,0.6235133533069017,0.8569774031639099,65.21970409777292,20.3899915441153,110.48038760424782,23.337607917533102,12031.488586425781,13971.340362548826,171.759837,12.37774812280475,30.632035971121667,30.713177837319627,TRI3,7,1,1,1,1,1,1,6
8,8,TRI3_2023-06-14_03-0636,2023-06-14 03:29:57.598285,2023-06-14 03:29:58.038285,12,486.27093505859375,0.6386307087812165,483.8070983886719,484.6126403808594,384.306396484375,0.9815775813167944,387.3910217285156,386.88092041015625,0.7397864460945129,0.7613870700200399,0.771950364112854,38.63191477457682,0.4550908285345027,42.471394856770836,0.07502699407444076,719.4965515136718,168.38339233398438,0.44,27.272727272727273,3.062370761782814,231.89749601852094,TRI3,8,0,0,0,1,0,0,1
9,9,TRI3_2023-06-14_03-0661,2023-06-14 03:30:28.758255,2023-06-14 03:32:26.638143,2161,1590.53125,114.65338220755656,1598.37451171875,1595.6668701171875,876.7977294921875,244.81284320762697,544.0512084960938,909.4451904296876,0.102812074124813,0.6524296133800107,0.8636721968650818,67.66041180117712,20.06402774436537,118.3631899514611,21.843662833057227,14070.472717285156,10679.560760498047,117.879888,18.33221965735156,33.04892282138189,49.62142060674941,TRI3,9,1,1,1,1,1,1,6
11,11,TRI3_2023-06-14_03-0737,2023-06-14 03:32:31.558138,2023-06-14 03:36:16.277924,3723,1533.4427490234375,140.2772198654189,800.4722900390625,1472.752685546875,1188.4765625,206.51912865288563,489.6971435546875,1223.930908203125,0.1005970910191536,0.6334939216501989,0.8654499053955078,65.86339382814074,22.85040618535152,123.12084206809864,26.823258936295055,26817.143981933594,32031.51751708984,224.719786,16.56729950784129,70.28722810031623,12.594168318712443,TRI3,11,1,1,1,1,1,1,6
