,x,y,w,h,track_id,class,conf,time,frame,ledge,filename
0,748.7769165039062,9.789329528808594,821.5371704101562,200.19342041015625,1.0,0.0,0.7813386917114258,1656831600.5999994,15,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
1,758.7987060546875,83.25408935546875,839.4655151367188,268.2759094238281,-1.0,0.0,0.8415393233299255,1656831600.6399994,16,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
2,764.1033325195312,136.97064208984375,839.1006469726562,333.7510986328125,2.0,0.0,0.8502154350280762,1656831600.6799994,17,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
3,766.9044799804688,193.02377319335938,843.359619140625,391.22894287109375,2.0,0.0,0.8468249440193176,1656831600.7199993,18,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
4,774.2010498046875,249.1651611328125,856.41796875,449.21380615234375,2.0,0.0,0.8245318531990051,1656831600.7599993,19,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
5,785.8544311523438,302.53179931640625,874.1228637695312,502.3272399902344,2.0,0.0,0.8505706191062927,1656831600.7999992,20,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
6,800.5109252929688,357.0478515625,898.7039184570312,560.352294921875,2.0,0.0,0.845105767250061,1656831600.8399992,21,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
7,813.7920532226562,410.5307312011719,906.865234375,618.4985961914062,2.0,0.0,0.8548088073730469,1656831600.8799992,22,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
8,824.8259887695312,453.7596740722656,912.9652709960938,663.35302734375,2.0,0.0,0.85643070936203,1656831600.9199991,23,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
9,835.5006713867188,485.0598449707031,919.3399047851562,692.9071655273438,2.0,0.0,0.8575519919395447,1656831600.959999,24,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
10,845.6278686523438,502.96722412109375,927.4934692382812,709.8751220703125,2.0,0.0,0.8548569679260254,1656831600.999999,25,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
11,851.5621948242188,514.13330078125,932.6493530273438,720.240234375,2.0,0.0,0.8566125631332397,1656831601.039999,26,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
12,855.01025390625,518.2765502929688,935.2334594726562,723.2750244140625,2.0,0.0,0.8615826368331909,1656831601.079999,27,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
13,855.9915771484375,520.0274047851562,936.2427978515625,724.254150390625,2.0,0.0,0.860525906085968,1656831601.119999,28,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
14,856.4920654296875,520.0282592773438,937.0078735351562,723.7000122070312,2.0,0.0,0.8603766560554504,1656831601.159999,29,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
15,856.749267578125,519.1599731445312,937.7369384765625,723.0775756835938,2.0,0.0,0.8627737164497375,1656831601.1999989,30,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
16,857.8121948242188,517.678466796875,939.75341796875,721.63671875,2.0,0.0,0.8593577742576599,1656831601.2399988,31,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
17,860.7725830078125,516.5701293945312,943.3872680664062,720.4268188476562,2.0,0.0,0.857398509979248,1656831601.2799988,32,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
18,865.0291748046875,514.1488647460938,948.3312377929688,719.09814453125,2.0,0.0,0.8611086010932922,1656831601.3199987,33,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
19,869.0028686523438,512.1517944335938,955.7011108398438,716.67578125,2.0,0.0,0.8575530648231506,1656831601.3599987,34,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
20,875.1224975585938,512.1864624023438,965.150634765625,714.4710083007812,2.0,0.0,0.8684248328208923,1656831601.3999987,35,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
21,882.3848266601562,509.1177062988281,976.610595703125,711.7874755859375,2.0,0.0,0.8552060723304749,1656831601.4399986,36,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
22,893.130126953125,508.9810791015625,993.1515502929688,705.2357788085938,2.0,0.0,0.8728912472724915,1656831601.4799986,37,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
23,907.02880859375,509.673095703125,1011.576904296875,701.9827270507812,2.0,0.0,0.8804616332054138,1656831601.5199986,38,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
24,918.193603515625,511.0947265625,1025.4105224609375,701.5123291015625,2.0,0.0,0.8733277320861816,1656831601.5599985,39,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
25,928.0936279296875,512.716796875,1036.2271728515625,703.0059814453125,2.0,0.0,0.8792833685874939,1656831601.5999985,40,BONDEN6,Auklab1_BONDEN6_2022-07-03_07.00.00_3479_3482.mp4
