,x,y,w,h,track_id,class,conf,time,frame,ledge,filename
0,0.049480438232421875,232.04412841796875,87.08326721191406,330.4537353515625,1.0,0.0,0.7130693793296814,1657256400.7999992,20,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
1,0.6089893579483032,284.4110412597656,125.16175842285156,386.9053039550781,-1.0,0.0,0.8151528239250183,1657256400.8399992,21,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
2,30.500259399414062,325.015869140625,165.45086669921875,431.95928955078125,-1.0,0.0,0.8602522611618042,1657256400.8799992,22,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
3,78.13844299316406,351.6980895996094,196.06402587890625,453.38470458984375,-1.0,0.0,0.823047935962677,1657256400.9199991,23,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
4,132.7977294921875,383.47802734375,281.1165466308594,503.83880615234375,-1.0,0.0,0.8426148891448975,1657256400.959999,24,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
5,182.9775390625,419.1137390136719,332.5084533691406,535.2840576171875,-1.0,0.0,0.8662194013595581,1657256400.999999,25,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
6,238.2764434814453,454.3646545410156,379.6637878417969,562.0521850585938,-1.0,0.0,0.8379554748535156,1657256401.039999,26,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
7,289.039306640625,495.26824951171875,451.7838439941406,619.3947143554688,-1.0,0.0,0.8541683554649353,1657256401.079999,27,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
8,320.62847900390625,515.3814697265625,468.218994140625,638.4003295898438,8.0,0.0,0.8602801561355591,1657256401.119999,28,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
9,373.1337890625,540.71875,548.6467895507812,666.3775634765625,-1.0,0.0,0.8485493063926697,1657256401.159999,29,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
10,430.2086181640625,578.6129150390625,586.6774291992188,696.2928466796875,-1.0,0.0,0.8582119345664978,1657256401.1999989,30,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
11,464.9790344238281,597.03125,606.4432373046875,692.2432861328125,10.0,0.0,0.8265116214752197,1657256401.2399988,31,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
12,521.5817260742188,632.021728515625,669.0245361328125,731.0759887695312,-1.0,0.0,0.8287435173988342,1657256401.2799988,32,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
13,555.4654541015625,633.28515625,691.9326171875,734.163330078125,11.0,0.0,0.8373638391494751,1657256401.3199987,33,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
14,578.9083862304688,636.5813598632812,716.5186157226562,740.7692260742188,11.0,0.0,0.8196172714233398,1657256401.3599987,34,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
15,607.4853515625,644.8240356445312,738.2954711914062,747.237548828125,11.0,0.0,0.8585066795349121,1657256401.3999987,35,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
16,624.1202392578125,646.6246948242188,750.4150390625,770.4719848632812,11.0,0.0,0.8717377185821533,1657256401.4399986,36,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
17,637.246337890625,652.9464111328125,759.8741455078125,792.2106323242188,11.0,0.0,0.8837944865226746,1657256401.4799986,37,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
18,643.7172241210938,657.8285522460938,759.3186645507812,797.7842407226562,11.0,0.0,0.8849783539772034,1657256401.5199986,38,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
19,644.3702392578125,658.7298583984375,756.8135986328125,798.3966064453125,11.0,0.0,0.8875776529312134,1657256401.5599985,39,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
20,642.5047607421875,654.3543090820312,757.8956909179688,795.7340698242188,11.0,0.0,0.8792076110839844,1657256401.5999985,40,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
21,642.658203125,648.190185546875,757.29833984375,792.0963745117188,11.0,0.0,0.8782336711883545,1657256401.6399984,41,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
22,642.4892578125,646.824951171875,756.0944213867188,791.8907470703125,11.0,0.0,0.8756527304649353,1657256401.6799984,42,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
23,641.7947387695312,650.4716186523438,753.9595336914062,794.4937133789062,11.0,0.0,0.8786728382110596,1657256401.7199984,43,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
24,634.8571166992188,658.3702392578125,747.76123046875,819.1170654296875,11.0,0.0,0.8852569460868835,1657256401.7599983,44,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
25,608.8946533203125,678.0015869140625,682.8114013671875,854.1808471679688,-1.0,0.0,0.8420668840408325,1657256401.7999983,45,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
26,581.1221923828125,697.3775024414062,648.86181640625,883.7308959960938,-1.0,0.0,0.8377224206924438,1657256401.8399982,46,FAR3,Auklab1_FAR3_2022-07-08_05.00.00_3570_3580.mp4
