,x,y,w,h,class,conf,time,frame,ledge,filename
0,550.371337890625,1042.58642578125,662.9570922851562,1130.64794921875,0.0,0.2819260060787201,1657288848.4399538,1211,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
1,553.3772583007812,1004.7757568359375,674.4845581054688,1168.99658203125,0.0,0.5035126805305481,1657288880.5199232,2013,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
2,553.3405151367188,1007.0823974609375,675.0379028320312,1167.0172119140625,0.0,0.4661487638950348,1657288880.5599232,2014,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
3,553.1199951171875,1010.5718994140625,678.267333984375,1164.7958984375,0.0,0.47119319438934326,1657288880.5999231,2015,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
4,556.15576171875,1016.4827880859375,677.1663818359375,1150.308837890625,0.0,0.47173377871513367,1657288880.639923,2016,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
5,572.837890625,1024.0946044921875,675.1091918945312,1127.8192138671875,0.0,0.6249181032180786,1657288880.679923,2017,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
6,551.6416625976562,1027.4539794921875,675.5349731445312,1169.0347900390625,0.0,0.6160609126091003,1657288880.719923,2018,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
7,551.7055053710938,1029.9459228515625,675.739501953125,1167.4539794921875,0.0,0.4990544319152832,1657288880.759923,2019,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
8,551.7816162109375,1030.3963623046875,674.52880859375,1164.9676513671875,0.0,0.5331733822822571,1657288880.799923,2020,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
9,1595.8785400390625,389.5034484863281,1715.2750244140625,439.8937683105469,0.0,0.3733974099159241,1657288905.879899,2647,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
10,1597.185791015625,392.0133361816406,1709.182373046875,439.4632263183594,0.0,0.3524731695652008,1657288905.919899,2648,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
11,373.0974426269531,623.6341552734375,524.4136352539062,789.6767578125,0.0,0.31890758872032166,1657288910.3198948,2758,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
12,356.8673095703125,625.7618408203125,529.6139526367188,789.61083984375,0.0,0.37202852964401245,1657288910.4398947,2761,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
13,356.2003479003906,621.7909545898438,535.287109375,797.17919921875,0.0,0.6038109064102173,1657288910.4798946,2762,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
14,356.2906799316406,621.790283203125,537.57861328125,800.4769287109375,0.0,0.7236964106559753,1657288910.5198946,2763,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
15,359.75250244140625,619.952392578125,537.5342407226562,802.5537719726562,0.0,0.7438434958457947,1657288910.5598946,2764,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
16,363.9988708496094,621.0107421875,532.7648315429688,796.2337036132812,0.0,0.7344370484352112,1657288910.5998945,2765,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
17,366.65740966796875,620.9540405273438,528.1424560546875,788.36279296875,0.0,0.7166370153427124,1657288910.6398945,2766,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
18,367.263671875,621.3552856445312,525.4251708984375,778.6837158203125,0.0,0.6930649876594543,1657288910.6798944,2767,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
19,2113.445068359375,714.7223510742188,2177.686279296875,850.6791381835938,0.0,0.469882071018219,1657288920.1198854,3003,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
20,2112.887451171875,715.5048217773438,2177.475830078125,852.4461059570312,0.0,0.3269915282726288,1657288920.1598854,3004,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
21,2125.302734375,736.517822265625,2176.661376953125,857.8872680664062,0.0,0.27553337812423706,1657288926.5198793,3163,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
22,2125.3046875,737.22412109375,2175.286376953125,856.516357421875,0.0,0.3464854657649994,1657288926.5998793,3165,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
23,2124.62353515625,737.870361328125,2173.831298828125,854.6222534179688,0.0,0.47728660702705383,1657288926.6398792,3166,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
24,2124.834228515625,738.0943603515625,2173.860595703125,854.960693359375,0.0,0.47272270917892456,1657288926.6798792,3167,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
25,2124.569580078125,738.2672729492188,2174.345703125,855.5999145507812,0.0,0.4573075771331787,1657288926.7198792,3168,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
26,2123.021484375,738.6964111328125,2175.838134765625,857.0307006835938,0.0,0.490133136510849,1657288926.759879,3169,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
27,2120.091064453125,738.516357421875,2177.7373046875,859.2974853515625,0.0,0.3466061055660248,1657288926.799879,3170,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
28,2119.95068359375,737.5001220703125,2178.11767578125,859.4226684570312,0.0,0.41127723455429077,1657288926.839879,3171,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
29,2119.31689453125,737.5775756835938,2179.98974609375,860.2094116210938,0.0,0.36316394805908203,1657288926.879879,3172,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
30,2119.36865234375,736.46826171875,2180.578369140625,862.2738647460938,0.0,0.3423355519771576,1657288926.919879,3173,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
31,2118.12060546875,734.5820922851562,2182.86865234375,865.1148681640625,0.0,0.40373432636260986,1657288926.959879,3174,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
32,2117.517822265625,732.4849243164062,2188.7431640625,866.4427490234375,0.0,0.546660840511322,1657288926.999879,3175,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
33,2116.29345703125,729.954833984375,2187.699462890625,865.9503784179688,0.0,0.45746830105781555,1657288927.0398788,3176,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
34,2116.465087890625,728.8883056640625,2183.093994140625,863.202392578125,0.0,0.5318371057510376,1657288927.0798788,3177,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
35,2116.357666015625,728.7366943359375,2180.898681640625,861.1002807617188,0.0,0.49736759066581726,1657288927.1198788,3178,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
36,2115.856201171875,728.7683715820312,2181.60986328125,863.8787841796875,0.0,0.38712361454963684,1657288927.1598787,3179,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
37,2116.01904296875,728.5189208984375,2187.42333984375,862.7779541015625,0.0,0.4396928548812866,1657288927.1998787,3180,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
38,2115.9150390625,728.2772827148438,2188.0234375,864.9132080078125,0.0,0.5018852949142456,1657288927.2398787,3181,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
39,2115.7607421875,728.2045288085938,2186.04296875,864.9180908203125,0.0,0.4756494462490082,1657288927.2798786,3182,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
40,2115.135986328125,728.0384521484375,2185.90869140625,864.4151611328125,0.0,0.5824304819107056,1657288927.3198786,3183,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
41,2114.234619140625,726.6787109375,2186.466796875,864.5230712890625,0.0,0.5977426171302795,1657288927.3598785,3184,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
42,2112.806640625,725.0785522460938,2188.030517578125,864.4617919921875,0.0,0.631925642490387,1657288927.3998785,3185,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
43,2111.83837890625,724.2623291015625,2186.689453125,863.7994384765625,0.0,0.6478291153907776,1657288927.4398785,3186,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
44,2111.83154296875,724.2138671875,2185.033935546875,864.412841796875,0.0,0.6268119215965271,1657288927.4798784,3187,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
45,2111.372802734375,723.4055786132812,2183.975341796875,863.6783447265625,0.0,0.6213322281837463,1657288927.5198784,3188,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
46,2112.449462890625,724.1801147460938,2184.151123046875,863.5109252929688,0.0,0.6287289261817932,1657288927.5598783,3189,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
47,2111.6591796875,725.3631591796875,2182.633544921875,863.3410034179688,0.0,0.5765300989151001,1657288927.5998783,3190,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
48,2110.93115234375,725.6567993164062,2181.483642578125,863.24609375,0.0,0.5619558095932007,1657288927.6398783,3191,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
49,2110.40576171875,726.871337890625,2178.91015625,864.123779296875,0.0,0.5245014429092407,1657288927.6798782,3192,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
50,2110.50390625,726.9053344726562,2178.0859375,863.9553833007812,0.0,0.5010486841201782,1657288927.7198782,3193,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
51,2110.45703125,727.7520141601562,2176.647216796875,864.7864379882812,0.0,0.4325105547904968,1657288927.7598782,3194,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
52,2110.31298828125,728.1973876953125,2174.65283203125,865.9562377929688,0.0,0.4025344252586365,1657288927.7998781,3195,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
53,2110.35986328125,728.2212524414062,2174.934326171875,866.2286376953125,0.0,0.4166420102119446,1657288927.839878,3196,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
54,2110.916748046875,729.85595703125,2175.313720703125,865.1848754882812,0.0,0.44189223647117615,1657288927.879878,3197,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
55,2111.431640625,730.4453735351562,2175.242919921875,865.9847412109375,0.0,0.4479803740978241,1657288927.919878,3198,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
56,2111.5517578125,731.0740356445312,2177.167724609375,865.8167724609375,0.0,0.38997820019721985,1657288927.959878,3199,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
57,2115.8857421875,734.8665771484375,2181.96533203125,861.9544067382812,0.0,0.3188776671886444,1657288937.7998686,3445,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
58,2115.60009765625,734.1511840820312,2179.094970703125,861.0284423828125,0.0,0.3342391848564148,1657288937.8398685,3446,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
59,2114.44873046875,733.7061157226562,2177.312744140625,860.65576171875,0.0,0.4424782991409302,1657288937.8798685,3447,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
60,2114.3349609375,733.5504150390625,2177.1904296875,861.4329223632812,0.0,0.36004120111465454,1657288937.9198685,3448,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
61,2113.32275390625,733.2489013671875,2175.394287109375,860.918212890625,0.0,0.34673309326171875,1657288937.9598684,3449,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
62,359.3855285644531,912.1112060546875,529.2088012695312,982.3682250976562,0.0,0.30677300691604614,1657288937.9598684,3449,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
63,2114.7314453125,733.3551025390625,2173.93212890625,859.5155029296875,0.0,0.39860019087791443,1657288937.9998684,3450,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
64,2115.03125,733.2850952148438,2172.55126953125,859.2897338867188,0.0,0.40171048045158386,1657288938.0398684,3451,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
65,2114.42724609375,732.6339721679688,2173.16748046875,858.8916015625,0.0,0.4232701361179352,1657288938.0798683,3452,FAR3,Auklab1_FAR3_2022-07-08_14.00.00.mp4
