,x,y,w,h,class,conf,time,frame,ledge,filename
0,2057.515625,1150.2415771484375,2144.371826171875,1258.6015625,0.0,0.5031139850616455,1656910808.0799923,202,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
1,2129.365234375,1459.189208984375,2192.779052734375,1511.769287109375,0.0,0.7093002796173096,1656910841.6799603,1042,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
2,0.41431504487991333,1128.4981689453125,130.57655334472656,1278.091796875,0.0,0.3778274357318878,1656910853.599949,1340,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
3,0.09763326495885849,1125.0325927734375,38.050811767578125,1220.4036865234375,0.0,0.3530605137348175,1656910855.8399467,1396,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
4,623.40283203125,1050.8297119140625,676.658447265625,1229.3734130859375,0.0,0.5711904764175415,1656910880.1599236,2004,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
5,623.4639282226562,1050.4876708984375,676.658935546875,1229.4678955078125,0.0,0.6044831871986389,1656910880.1999235,2005,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
6,625.7943725585938,1051.22021484375,678.3651123046875,1230.1746826171875,0.0,0.5327045917510986,1656910880.2399235,2006,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
7,626.2009887695312,1044.1497802734375,679.2946166992188,1230.609375,0.0,0.30364903807640076,1656910880.3199234,2008,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
8,626.5956420898438,1034.0574951171875,684.247802734375,1230.7703857421875,0.0,0.38546380400657654,1656910881.1999226,2030,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
9,627.0159912109375,1028.851318359375,684.3367919921875,1231.6239013671875,0.0,0.44342032074928284,1656910881.2399225,2031,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
10,2263.500732421875,771.7825927734375,2303.708740234375,811.6695556640625,0.0,0.290610134601593,1656910881.3199224,2033,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
11,2263.328369140625,771.7110595703125,2303.975341796875,811.9154052734375,0.0,0.3635386526584625,1656910881.3599224,2034,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
12,2262.91845703125,771.656494140625,2304.16796875,811.6703491210938,0.0,0.4322863221168518,1656910881.3999224,2035,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
13,2262.680419921875,771.4688110351562,2304.291748046875,811.8653564453125,0.0,0.435835063457489,1656910881.4399223,2036,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
14,2263.447998046875,771.5211181640625,2304.011962890625,811.0795288085938,0.0,0.31994250416755676,1656910881.4799223,2037,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
15,2263.2568359375,771.1859741210938,2304.17626953125,811.5987548828125,0.0,0.39122602343559265,1656910881.5199223,2038,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
16,2263.64990234375,771.869873046875,2306.371337890625,810.8908081054688,0.0,0.43850648403167725,1656910881.719922,2043,BONDEN3,Auklab1_BONDEN3_2022-07-04_05.00.00.mp4
